CASA,TRASFERTA,X,Y,CRISI
Sassuolo,Fiorentina,,,
Torino,Cagliari,,,
Verona,Venezia,,,
Spezia,Roma,,,
Lazio,Napoli,,,
Atalanta,Sampdoria,,,
Inter,Salernitana,,,
Udinese,Sampdoria,,,
Roma,Atalanta,,,
Cagliari,Lazio,,,
Genoa,Empoli,,,
Bologna,Torino,,,
Fiorentina,Verona,,,
Venezia,Sassuolo,,,
Juventus,Spezia,,,
Napoli,Milan,,,
Atalanta,Genoa,,,
Fiorentina,Bologna,,,
Verona,Napoli,,,
Lazio,Venezia,,,
Milan,Empoli,,,
Salernitana,Sassuolo,,,
Sampdoria,Juventus,,,
Spezia,Cagliari,,,
Torino,Inter,,,
Udinese,Roma,,,
Bologna,Atalanta,,,
Cagliari,Milan,,,
Empoli,Verona,,,
Genoa,Torino,,,
Inter,Fiorentina,,,
Juventus,Salernitana,,,
Napoli,Udinese,,,
Roma,Lazio,,,
Sassuolo,Spezia,,,
Venezia,Sampdoria,,,
Atalanta,Napoli,,,
Fiorentina,Empoli,,,
Verona,Genoa,,,
Juventus,Inter,,,
Lazio,Sassuolo,,,
Milan,Bologna,,,
Salernitana,Torino,,,
Sampdoria,Roma,,,
Spezia,Venezia,,,
Udinese,Cagliari,,,
Bologna,Sampdoria,,,
Cagliari,Juventus,,,
Empoli,Spezia,,,
Genoa,Lazio,,,
Inter,Verona,,,
Napoli,Fiorentina,,,
Roma,Salernitana,,,
Sassuolo,Atalanta,,,
Torino,Milan,,,
Venezia,Udinese,,,
Atalanta,Verona,,,
Cagliari,Sassuolo,,,
Fiorentina,Venezia,,,
Juventus,Bologna,,,
Lazio,Torino,,,
Milan,Genoa,,,
Napoli,Roma,,,
Sampdoria,Salernitana,,,
Spezia,Inter,,,
Udinese,Empoli,,,
Bologna,Udinese,,,
Empoli,Napoli,,,
Genoa,Cagliari,,,
Verona,Sampdoria,,,
Inter,Roma,,,
Lazio,Milan,,,
Salernitana,Fiorentina,,,
Sassuolo,Juventus,,,
Torino,Spezia,,,
Venezia,Atalanta,,,
Atalanta,Salernitana,,,
Cagliari,Verona,,,
Empoli,Torino,,,
Juventus,Venezia,,,
Milan,Fiorentina,,,
Napoli,Sassuolo,,,
Roma,Bologna,,,
Sampdoria,Genoa,,,
Spezia,Lazio,,,
Udinese,Inter,,,
Fiorentina,Roma,,,
Genoa,Juventus,,,
Verona,Milan,,,
Inter,Empoli,,,
Lazio,Sampdoria,,,
Salernitana,Cagliari,,,
Sassuolo,Udinese,,,
Spezia,Atalanta,,,
Torino,Napoli,,,
Venezia,Bologna,,,
Bologna,Sassuolo,,,
Cagliari,Inter,,,
Empoli,Salernitana,,,
Verona,Torino,,,
Juventus,Lazio,,,
Milan,Atalanta,,,
Napoli,Genoa,,,
Roma,Venezia,,,
Sampdoria,Fiorentina,,,
Udinese,Spezia,,,
Atalanta,Empoli,,,
Fiorentina,Juventus,,,
Genoa,Bologna,,,
Inter,Sampdoria,,,
Lazio,Verona,,,
Salernitana,Udinese,,,
Sassuolo,Milan,,,
Spezia,Napoli,,,
Torino,Roma,,,
Venezia,Cagliari,,,
